iter	Passed	Remaining
0	2	2120
1	3	1902
2	5	1848
3	7	1875
4	9	1810
5	10	1704
6	12	1840
7	14	1823
8	15	1745
9	17	1683
10	18	1644
11	19	1605
12	20	1566
13	21	1532
14	22	1509
15	24	1513
16	26	1549
17	28	1556
18	30	1574
19	32	1582
20	34	1593
21	35	1595
22	37	1599
23	38	1576
24	39	1558
25	41	1550
26	43	1551
27	44	1538
28	45	1515
29	46	1501
30	47	1487
31	48	1472
32	49	1461
33	51	1450
34	52	1438
35	53	1428
36	54	1417
37	56	1420
38	58	1434
39	59	1419
40	60	1411
41	61	1401
42	62	1392
43	63	1383
44	64	1375
45	65	1367
46	67	1361
47	68	1356
48	70	1359
49	72	1372
50	74	1378
51	75	1381
52	77	1386
53	79	1391
54	81	1394
55	82	1395
56	83	1388
57	85	1381
58	85	1369
59	87	1373
60	89	1377
61	90	1371
62	91	1365
63	92	1359
64	94	1353
65	95	1347
66	96	1341
67	97	1336
68	98	1331
69	100	1330
70	101	1332
71	103	1329
72	104	1325
73	106	1332
74	108	1337
75	110	1340
76	111	1341
77	113	1337
78	114	1339
79	116	1339
80	118	1342
81	120	1344
82	122	1349
83	123	1351
84	125	1355
85	128	1362
86	130	1367
87	132	1369
88	134	1373
89	135	1373
90	137	1375
91	139	1377
92	140	1372
93	141	1366
94	142	1361
95	144	1357
96	145	1352
97	146	1343
98	147	1342
99	149	1343
100	150	1342
101	152	1338
102	153	1334
103	154	1330
104	155	1326
105	156	1322
106	158	1321
107	160	1326
108	162	1330
109	164	1333
110	166	1336
111	168	1339
112	171	1342
113	173	1347
114	175	1348
115	177	1351
116	179	1355
117	181	1358
118	183	1356
119	185	1357
120	186	1353
121	187	1349
122	188	1344
123	189	1340
124	190	1336
125	192	1333
126	193	1332
127	195	1333
128	196	1329
129	197	1325
130	199	1322
131	200	1318
132	201	1314
133	202	1310
134	204	1307
135	205	1307
136	207	1307
137	209	1309
138	211	1307
139	212	1305
140	214	1304
141	215	1304
142	217	1304
143	219	1304
144	220	1301
145	221	1298
146	223	1299
147	225	1297
148	226	1294
149	227	1291
150	228	1287
151	230	1283
152	231	1280
153	232	1276
154	233	1273
155	234	1267
156	235	1264
157	236	1261
158	237	1258
159	239	1255
160	240	1251
161	241	1248
162	242	1245
163	243	1242
164	244	1239
165	245	1235
166	247	1232
167	248	1229
168	249	1225
169	251	1226
170	252	1225
171	254	1226
172	256	1226
173	258	1226
174	260	1226
175	261	1225
176	263	1223
177	264	1222
178	265	1219
179	266	1216
180	268	1216
181	270	1216
182	271	1214
183	273	1211
184	274	1208
185	275	1205
186	276	1202
187	277	1199
188	278	1196
189	280	1193
190	281	1191
191	282	1189
192	284	1188
193	285	1185
194	286	1183
195	288	1184
196	290	1185
197	292	1185
198	294	1183
199	295	1182
200	296	1179
201	298	1180
202	300	1181
203	302	1181
204	304	1182
205	306	1182
206	308	1183
207	311	1184
208	312	1183
209	314	1183
210	316	1183
211	318	1183
212	320	1183
213	321	1180
214	322	1177
215	323	1175
216	324	1172
217	326	1169
218	327	1166
219	328	1164
220	330	1164
221	331	1163
222	333	1160
223	334	1158
224	335	1155
225	336	1153
226	337	1150
227	339	1148
228	340	1146
229	342	1148
230	345	1148
231	347	1148
232	349	1149
233	350	1148
234	352	1149
235	354	1147
236	355	1145
237	356	1142
238	358	1140
239	360	1142
240	362	1141
241	364	1141
242	366	1140
243	368	1141
244	370	1140
245	372	1141
246	374	1142
247	376	1141
248	378	1140
249	380	1140
250	381	1137
251	382	1135
252	383	1132
253	384	1130
254	386	1128
255	388	1127
256	390	1127
257	392	1128
258	394	1128
259	396	1128
260	398	1129
261	400	1128
262	402	1127
263	404	1127
264	406	1126
265	407	1124
266	408	1122
267	409	1119
268	411	1117
269	412	1114
270	413	1112
271	414	1109
272	415	1107
273	417	1105
274	418	1102
275	419	1100
276	420	1097
277	421	1095
278	422	1092
279	424	1090
280	425	1088
281	426	1085
282	427	1083
283	428	1080
284	429	1078
285	430	1075
286	432	1075
287	434	1074
288	436	1073
289	438	1073
290	440	1072
291	441	1071
292	443	1070
293	445	1069
294	446	1067
295	447	1065
296	448	1062
297	450	1062
298	452	1060
299	453	1058
300	454	1055
301	455	1053
302	457	1051
303	458	1049
304	459	1046
305	460	1044
306	461	1041
307	462	1039
308	464	1038
309	465	1036
310	466	1034
311	468	1032
312	469	1030
313	471	1030
314	473	1029
315	475	1029
316	476	1027
317	478	1026
318	480	1025
319	482	1024
320	483	1023
321	485	1022
322	487	1022
323	489	1021
324	491	1021
325	493	1020
326	495	1020
327	497	1019
328	499	1018
329	501	1018
330	503	1017
331	505	1016
332	507	1016
333	508	1014
334	510	1013
335	512	1012
336	514	1012
337	516	1010
338	518	1010
339	519	1008
340	521	1007
341	523	1007
342	526	1007
343	528	1008
344	531	1008
345	533	1007
346	534	1006
347	537	1006
348	538	1005
349	540	1004
350	543	1004
351	545	1003
352	547	1003
353	549	1002
354	551	1002
355	553	1001
356	556	1001
357	558	1001
358	560	1001
359	562	999
360	564	999
361	565	997
362	566	994
363	568	992
364	570	991
365	571	990
366	574	990
367	575	989
368	577	987
369	579	987
370	581	985
371	583	984
372	584	982
373	585	980
374	586	978
375	588	977
376	590	975
377	591	973
378	592	970
379	593	968
380	594	966
381	595	964
382	597	962
383	598	959
384	599	957
385	600	955
386	601	953
387	603	951
388	604	949
389	605	946
390	606	944
391	607	942
392	608	940
393	609	938
394	611	936
395	612	933
396	613	931
397	615	930
398	616	928
399	618	927
400	620	926
401	621	924
402	623	923
403	625	922
404	626	921
405	628	919
406	629	917
407	630	915
408	632	913
409	634	912
410	635	910
411	636	908
412	637	906
413	639	904
414	640	902
415	641	900
416	642	898
417	643	896
418	644	894
419	646	892
420	647	890
421	648	888
422	649	886
423	650	884
424	652	882
425	653	880
426	655	879
427	657	879
428	659	878
429	662	877
430	664	877
431	666	876
432	668	875
433	670	874
434	672	873
435	675	873
436	677	873
437	680	873
438	683	872
439	685	872
440	687	871
441	689	870
442	691	869
443	693	868
444	695	867
445	698	867
446	700	866
447	702	865
448	704	865
449	707	865
450	710	865
451	712	864
452	715	863
453	717	862
454	719	861
455	721	861
456	723	860
457	725	859
458	728	858
459	730	857
460	732	856
461	734	855
462	736	854
463	738	853
464	740	852
465	743	851
466	745	850
467	747	849
468	748	847
469	750	845
470	751	843
471	753	842
472	754	841
473	757	840
474	759	839
475	761	837
476	762	836
477	764	835
478	766	834
479	767	831
480	770	831
481	772	829
482	774	828
483	776	827
484	777	825
485	778	823
486	779	821
487	781	819
488	782	817
489	783	815
490	784	813
491	785	811
492	786	809
493	788	807
494	789	805
495	790	803
496	791	801
497	792	799
498	793	797
499	795	795
500	796	793
501	797	791
502	799	789
503	801	788
504	802	787
505	804	785
506	806	784
507	808	782
508	809	781
509	811	779
510	812	777
511	814	775
512	815	774
513	817	773
514	818	771
515	820	769
516	821	767
517	822	765
518	823	763
519	824	761
520	825	759
521	827	757
522	828	755
523	829	753
524	830	751
525	831	749
526	833	747
527	834	745
528	835	743
529	836	741
530	838	740
531	840	739
532	842	738
533	844	737
534	846	735
535	848	734
536	850	733
537	852	732
538	854	730
539	856	729
540	858	728
541	861	727
542	863	726
543	865	725
544	867	724
545	869	722
546	870	720
547	871	719
548	873	717
549	874	715
550	875	713
551	876	711
552	879	710
553	880	708
554	881	706
555	882	704
556	883	702
557	885	701
558	886	699
559	887	697
560	888	695
561	890	693
562	892	693
563	894	691
564	897	690
565	899	689
566	901	688
567	903	686
568	904	685
569	905	683
570	907	682
571	909	680
572	911	679
573	914	678
574	916	677
575	918	675
576	920	674
577	922	673
578	924	672
579	926	671
580	928	669
581	930	668
582	931	666
583	932	664
584	934	662
585	935	661
586	937	659
587	940	658
588	942	657
589	943	655
590	945	654
591	947	653
592	949	651
593	950	649
594	951	647
595	953	646
596	955	644
597	956	642
598	957	641
599	958	639
600	959	637
601	961	635
602	962	633
603	963	631
604	964	629
605	965	628
606	967	626
607	968	624
608	969	622
609	970	620
610	972	618
611	973	617
612	974	615
613	975	613
614	976	611
615	977	609
616	978	607
617	980	606
618	982	604
619	984	603
620	986	601
621	987	600
622	989	598
623	990	596
624	992	595
625	994	593
626	995	592
627	996	590
628	998	588
629	1000	587
630	1002	586
631	1003	584
632	1004	582
633	1006	580
634	1007	579
635	1008	577
636	1010	575
637	1011	573
638	1012	572
639	1013	570
640	1014	568
641	1016	566
642	1017	564
643	1018	563
644	1019	561
645	1021	559
646	1022	558
647	1024	556
648	1026	555
649	1028	554
650	1030	552
651	1032	551
652	1034	549
653	1037	548
654	1039	547
655	1042	546
656	1044	545
657	1046	543
658	1048	542
659	1050	540
660	1052	539
661	1054	538
662	1056	537
663	1058	535
664	1060	534
665	1063	533
666	1065	531
667	1067	530
668	1069	529
669	1071	527
670	1073	526
671	1076	525
672	1078	523
673	1081	522
674	1083	521
675	1085	520
676	1086	518
677	1087	516
678	1089	515
679	1091	513
680	1093	512
681	1095	510
682	1097	509
683	1099	507
684	1101	506
685	1103	505
686	1105	503
687	1107	502
688	1109	500
689	1111	499
690	1112	497
691	1114	496
692	1116	494
693	1118	493
694	1120	491
695	1123	490
696	1124	489
697	1126	487
698	1128	486
699	1130	484
700	1132	482
701	1133	481
702	1135	479
703	1137	478
704	1138	476
705	1140	474
706	1142	473
707	1143	471
708	1145	469
709	1146	468
710	1147	466
711	1148	464
712	1151	463
713	1152	461
714	1154	459
715	1156	458
716	1157	456
717	1158	454
718	1159	453
719	1160	451
720	1162	449
721	1164	448
722	1166	446
723	1168	445
724	1170	443
725	1172	442
726	1174	440
727	1175	439
728	1177	437
729	1178	435
730	1180	434
731	1182	432
732	1183	431
733	1185	429
734	1187	427
735	1188	426
736	1189	424
737	1190	422
738	1191	420
739	1192	419
740	1194	417
741	1196	416
742	1197	414
743	1198	412
744	1200	410
745	1201	409
746	1202	407
747	1204	405
748	1206	404
